grb,ra,dec,err
180418A,11:20:29.16,+24:55:59.1,1.6 
180411A,23:47:24.96,+66:46:42.5,3.5 
180410A,06:23:49.71,+12:48:41.1,1.5 
180409A,NO POSITION,,
180409A,NO POSITION,,
180409A,NO POSITION,,
180409A,NO POSITION,,
180409A,11:43:22.42,+36:14:00.6,3.6 
180409A,NO POSITION,,
180407A,NO POSITION,,
180404B,03:33:34.31,-50:12:55.6,1.4 
180404A,05:34:11.74,-37:10:04.8,1.9 
180402A,16:47:43.80,-14:58:12.5,3.6 
180331B,13:07:07.96,+61:43:35.2,1.4 
180331A,04:24:05.92,+13:23:55.6,1.5 
180329B,05:31:36.91,-23:41:27.4,1.4 
180325A,10:29:42.57,+24:27:48.9,1.4 
180324A,05:06:06.55,+56:42:50.1,1.4 
180316A,17:41:42.85,+00:44:53.2,1.4 
180314B,19:51:32.80,+23:37:26.9,1.5 
180314A,06:37:03.70,-24:29:46.5,1.4 
180311A,00:13:33.05,-54:29:29.2,1.5 
180305A,03:18:28.37,+32:06:35.8,1.7 
180224A,13:30:44.10,+38:04:43.5,1.4 
180222A,17:06:10.25,-36:48:46.0,6.5 
180210A,NO POSITION,,
180210A,00:07:22.02,+18:33:09.9,1.7 
180205A,08:27:16.72,+11:32:31.6,1.5 
180204A,22:00:31.98,+30:50:16.2,1.4 
180115A,00:48:09.32,-15:37:50.5,1.4 
180113A,NO POSITION,,
180111A,09:59:07.12,+48:16:02.7,1.5 
180103A,NO POSITION,,
180103A,10:38:24.35,-53:33:21.6,3.8 
180102A,13:32:16.07,+62:10:19.6,1.5 
171222A,09:53:06.64,+35:37:35.9,2.3 
171216A,14:07:57.77,-50:29:05.1,1.5 
171212A,19:35:40.28,+20:35:31.3,2.1 
171211A,06:32:32.26,-58:41:28.9,1.8 
171210A,NO POSITION,,
171209A,09:17:36.65,-30:31:12.6,1.4 
171205A,11:09:39.49,-12:35:18.7,1.5 
171124A,22:21:54.24,+35:19:55.7,2.3 
